                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.557,                 2.4079,                  1.136,                      1,                0.11765,                0.55881,                0.42939,                 2.0085,                 2.4383,                 1.4743,             0.00023605,             0.00023605,             0.00023605
                      2,                0.85078,                 1.1787,                0.91458,                0.59375,                0.37255,                 0.5018,                0.29497,                 1.8997,                 1.8802,                 1.4592,             0.00042667,             0.00042667,             0.00042667
                      3,                0.74322,                 1.0379,                0.89147,                0.72847,                0.41176,                 0.5712,                0.35802,                 1.9299,                 1.5647,                 1.3957,             0.00056971,             0.00056971,             0.00056971
                      4,                0.66387,                0.95793,                0.86603,                0.78518,                0.43004,                0.59873,                0.37373,                 1.8299,                    1.6,                 1.3789,             0.00049991,             0.00049991,             0.00049991
                      5,                 0.6218,                0.87266,                0.85965,                0.63305,                0.29412,                0.48371,                0.32167,                 1.8695,                 1.6637,                 1.3447,             0.00042854,             0.00042854,             0.00042854
                      6,                0.58838,                0.84396,                0.85186,                    0.8,                0.47059,                0.64717,                 0.4106,                 1.7444,                 1.4318,                 1.3392,             0.00035718,             0.00035718,             0.00035718
                      7,                0.56829,                0.79669,                0.84763,                   0.75,                0.47059,                0.63677,                0.39153,                 1.7871,                 1.4113,                  1.351,             0.00028581,             0.00028581,             0.00028581
                      8,                0.53783,                0.76914,                0.84322,                0.75758,                 0.4902,                0.66346,                0.42126,                 1.7032,                 1.2441,                 1.3199,             0.00021445,             0.00021445,             0.00021445
                      9,                0.52057,                0.74793,                0.83599,                0.82454,                0.39216,                0.62166,                0.39022,                 1.7198,                 1.3928,                 1.2761,             0.00014309,             0.00014309,             0.00014309
                     10,                0.49337,                0.72073,                 0.8275,                0.73973,                 0.4902,                0.65186,                0.42224,                 1.6397,                 1.1788,                 1.2218,             7.1721e-05,             7.1721e-05,             7.1721e-05
